session_id,model,input_tokens,output_tokens,total_tokens
00d4a1f953004ccc899f5521b66ee8db,unknown,0,0,0
00d5fec17a3041078fb22d2dc5688b41,ark/deepseek-v3-1,61,751,812
00d5fec17a3041078fb22d2dc5688b41,unknown,0,0,0
00dbea8fc2324e19ad5c809d3a90d6a5,deepseek-chat,670,373,1043
00dbea8fc2324e19ad5c809d3a90d6a5,unknown,0,0,0
00dc164a3179487199a9422e64eb6740,ark/deepseek-v3,728,299,1027
00dc164a3179487199a9422e64eb6740,unknown,0,0,0
00e6359c54944e12abb634e73e145a5e,ark/deepseek-v3,465,108,573
00e6359c54944e12abb634e73e145a5e,unknown,0,0,0
00e724c8707746c9b2ac914346235b8e,unknown,0,0,0
00e7f83cee6f4e188bb47ad979b7e700,deepseek-chat,3304,1589,4893
00e7f83cee6f4e188bb47ad979b7e700,gpt-4.1,3410,1070,4480
00e7f83cee6f4e188bb47ad979b7e700,unknown,0,0,0
00f5b35e131d40f693015c528862b645,ark/deepseek-v3-1,933,416,1349
00f5b35e131d40f693015c528862b645,deepseek-chat,670,373,1043
00f5b35e131d40f693015c528862b645,unknown,0,0,0
00f5f902c29047e084538eedad3fae14,ark/deepseek-v3,1552,877,2429
00f5f902c29047e084538eedad3fae14,unknown,0,0,0
00f9460f4f354ac580dd1b361a9baf72,deepseek-chat,1209,514,1723
00f9460f4f354ac580dd1b361a9baf72,unknown,0,0,0
00feb80736fa4ac893272184128b17b1,ark/deepseek-v3,6256,1284,7540
00feb80736fa4ac893272184128b17b1,unknown,0,0,0
0101ab59a8f74c7b88f3e58e143f3e21,deepseek-chat,2099,980,3079
0101ab59a8f74c7b88f3e58e143f3e21,unknown,0,0,0
010778c16280418f804bf4645a5e4c73,deepseek-chat,932,230,1162
010778c16280418f804bf4645a5e4c73,gpt-4.1,672,207,879
010778c16280418f804bf4645a5e4c73,unknown,0,0,0
0111fa3139c4413e8b3d73562435a5f6,ark/deepseek-v3,467,96,563
0111fa3139c4413e8b3d73562435a5f6,unknown,0,0,0
0118247eba2d43f287dd6a315da96445,ark/deepseek-v3,1089,310,1399
0118247eba2d43f287dd6a315da96445,unknown,0,0,0
011bc29e5f8b47d78a86f94d7daa99e0,ark/deepseek-v3,465,93,558
011bc29e5f8b47d78a86f94d7daa99e0,unknown,0,0,0
011c32a0cfe94245bbcfd1125171b49f,deepseek-chat,915,315,1230
011c32a0cfe94245bbcfd1125171b49f,unknown,0,0,0
01240f97320643a59952dfb5e0ca0cf4,ark/deepseek-v3,0,0,0
01240f97320643a59952dfb5e0ca0cf4,unknown,0,0,0
012464ecbb0240538edb290680802f2c,ark/deepseek-v3,701,178,879
012464ecbb0240538edb290680802f2c,unknown,0,0,0
013185e6d95f47fda787c11583041424,deepseek-chat,671,372,1043
013185e6d95f47fda787c11583041424,unknown,0,0,0
013618d742af4f5a806acd1549660dd7,ark/deepseek-v3,467,98,565
013618d742af4f5a806acd1549660dd7,unknown,0,0,0
013754840b6547438c19d44acf161a4c,ark/deepseek-v3,1286,704,1990
013754840b6547438c19d44acf161a4c,unknown,0,0,0
0137d76ef8eb4f5b8d580fd25b71fe25,ark/deepseek-v3,701,176,877
0137d76ef8eb4f5b8d580fd25b71fe25,unknown,0,0,0
013a9b6650ff47bcb3daa30170b9f086,ark/deepseek-v3-1,0,0,0
013a9b6650ff47bcb3daa30170b9f086,unknown,0,0,0
013ebc9027464b9583d50c4fb0951c40,ark/deepseek-v3,467,99,566
013ebc9027464b9583d50c4fb0951c40,unknown,0,0,0
013fb1fbf5c948beaca22f009b1160f5,ark/deepseek-v3-1,5057,2425,7482
013fb1fbf5c948beaca22f009b1160f5,gpt-4.1,3834,1148,4982
013fb1fbf5c948beaca22f009b1160f5,unknown,0,0,0
014af9d8c08f4082a9eba9b7b12b6ec5,ark/deepseek-v3,2368,1218,3586
014af9d8c08f4082a9eba9b7b12b6ec5,unknown,0,0,0
014c9f58fd6041f7ab7c18f084a5a97e,ark/deepseek-v3,701,183,884
014c9f58fd6041f7ab7c18f084a5a97e,unknown,0,0,0
015d7b03a5be40d792f2e25f5d0d3df7,ark/deepseek-v3,0,0,0
015d7b03a5be40d792f2e25f5d0d3df7,unknown,0,0,0
01653d03e5204267aeef212aa248ae3d,deepseek-chat,896,471,1367
01653d03e5204267aeef212aa248ae3d,unknown,0,0,0
016676d9733a4963995185645ed02523,unknown,0,0,0
01681c25bcac482d8328ad7ecd71772f,ark/deepseek-v3,1251,214,1465
01681c25bcac482d8328ad7ecd71772f,unknown,0,0,0
0169c40a9c014dbf9a5bc89b83bfadfc,deepseek-chat,2294,810,3104
0169c40a9c014dbf9a5bc89b83bfadfc,unknown,0,0,0
016c52e1a2c942dea5944cf65610375d,deepseek-chat,1357,982,2339
016c52e1a2c942dea5944cf65610375d,unknown,0,0,0
0177d307dc4b47ad838ecc258b9c3df3,ark/deepseek-v3-1,2162,1308,3470
0177d307dc4b47ad838ecc258b9c3df3,gpt-4.1,1584,362,1946
0177d307dc4b47ad838ecc258b9c3df3,unknown,0,0,0
017a29f3e52f423ca8dd5f2a10c8feea,deepseek-chat,2087,778,2865
017a29f3e52f423ca8dd5f2a10c8feea,unknown,0,0,0
0181a892b03442f2a3967580121daf76,ark/deepseek-v3,467,82,549
0181a892b03442f2a3967580121daf76,unknown,0,0,0
0195045773fb4c92896fd3d1ed7bcc23,deepseek-chat,2214,878,3092
0195045773fb4c92896fd3d1ed7bcc23,unknown,0,0,0
019657e7d146412d8b9137bf1ce1ef95,ark/deepseek-v3,1333,537,1870
019657e7d146412d8b9137bf1ce1ef95,unknown,0,0,0
019933552e254b76add4b6f87df67a7d,unknown,0,0,0
01a928a6f6c949ad999a0abd6604210f,deepseek-chat,670,312,982
01a928a6f6c949ad999a0abd6604210f,unknown,0,0,0
01b718b7cc2f41bcb19cf0cb247c1102,ark/deepseek-v3,13404,2609,16013
01b718b7cc2f41bcb19cf0cb247c1102,unknown,0,0,0
01bb59ea6061452ba6d4e112c15216c4,ark/deepseek-v3,467,114,581
01bb59ea6061452ba6d4e112c15216c4,unknown,0,0,0
01bc466a32804ba19d9bf6e5ce8ce319,ark/deepseek-v3,4110,1486,5596
01bc466a32804ba19d9bf6e5ce8ce319,unknown,0,0,0
01bd07f0fa734bc082a63d087a0f6b68,ark/deepseek-v3-1,1405,779,2184
01bd07f0fa734bc082a63d087a0f6b68,unknown,0,0,0
