session_id,model,input_tokens,output_tokens,total_tokens
08e88d665487409c9dc6ac8e6366cd9d,unknown,0,0,0
0912392ff0a94049adf2921dc20f5b7f,ark/deepseek-v3,1476,273,1749
0912392ff0a94049adf2921dc20f5b7f,unknown,0,0,0
091bcb87b22445848cec9c9d905b51cf,deepseek-chat,5,221,226
091bcb87b22445848cec9c9d905b51cf,unknown,0,0,0
0939231b15274e2ca857926da4edfc67,deepseek-chat,1307,313,1620
0939231b15274e2ca857926da4edfc67,gpt-4.1,1613,270,1883
0939231b15274e2ca857926da4edfc67,unknown,0,0,0
09701739fbb840689d00cac1e40db1ae,unknown,0,0,0
09cb3391d219420fb2149d1bf8dbdf3f,unknown,0,0,0
09e0c2e2bc024d2a953f21bb30270a53,deepseek-chat,4215,377,4592
09e0c2e2bc024d2a953f21bb30270a53,unknown,0,0,0
09f8f636cff246c988ecae6b1c646cc7,ark/deepseek-v3,8015,2884,10899
09fb8883ccf245a1ae837e0e2ae0caca,ark/deepseek-v3,92,103,195
0a26c3e56cec4568b8110cdfea3b35ca,deepseek-chat,5034,430,5464
0a26c3e56cec4568b8110cdfea3b35ca,unknown,0,0,0
0a724b60e69a4a6494b7dc5abb8e66db,ark/deepseek-v3,1061,251,1312
0a724b60e69a4a6494b7dc5abb8e66db,deepseek-chat,5342,54,5396
0a724b60e69a4a6494b7dc5abb8e66db,unknown,0,0,0
0aa29840749f47bf8321472995c308c9,unknown,0,0,0
0aaca80f01fc4ca6b92b723818ddf72e,deepseek-chat,832,1028,1860
0aaca80f01fc4ca6b92b723818ddf72e,unknown,0,0,0
0ae635b847dc438ebf91e64093517b20,ark/deepseek-v3,1485,789,2274
0b011ace50814f71a46ae40baefafa01,unknown,0,0,0
0b0fe9794fc04d28a19eb89e62a19516,ark/deepseek-v3,1911,64,1975
0b0fe9794fc04d28a19eb89e62a19516,deepseek-chat,10081,2183,12264
0b0fe9794fc04d28a19eb89e62a19516,unknown,0,0,0
0b203c2756804e06ae14db9fde2abb94,deepseek-chat,38863,6887,45750
0b203c2756804e06ae14db9fde2abb94,unknown,0,0,0
0b5db837c09c4bdda47422b65c125f4f,ark/deepseek-v3,1295,307,1602
0b5db837c09c4bdda47422b65c125f4f,gpt-4.1,4410,462,4872
0b5db837c09c4bdda47422b65c125f4f,unknown,0,0,0
0b5de5e60000474da5bbf31e9aba3540,unknown,0,0,0
0b75c1e221e84cc383fb7eab72e34c8c,unknown,0,0,0
0bd9737ba84340fbbed9392097fdf881,deepseek-chat,866,921,1787
0bd9737ba84340fbbed9392097fdf881,unknown,0,0,0
